hashtags,favorite_count,retweet_count,user_location
openaccess archivesouvertes HAL,0,0,Aix-en-Provence - Marseille
openaccess archaeology,0,2,"Bengaluru, Karnataka"
openaccess arXiv,0,0,"Oxford, England"
openaccess antifragile ebook,1,0,Brazil
openaccess anthropocene,"3, 0",3,"Newcastle Upon Tyne, England, Buckinghamshire, Lekeitio//Roma, University of Liverpool"
openaccess airquality airpollution,1,0,South Africa
openaccess accesoabierto conocimientoabierto,"0, 1",2,"Buckinghamshire, Catalunya, Barcelona"
openaccess academicfreedom,1,0,Ohio
openaccess academic oa research,"0, 4",4,"Melbourne, Australia, Sydney, Australia, Australia and New Zealand"
openaccess academic OER librarian phd,1,0,London
openaccess academia,0,0,"Ithaca, NY"
openaccess _���_�____,"0, 5",2,"                _�__����_���, Russia, _�__����_���"
openaccess _�_���_���_�������_�,0,1,"Russia, _�______-_�_���_�_�_�__��__, Sakhalin"
openaccess _�_�_�_�_�����_��� ___�_�_���_�___�,"0, 5",2,"_�__����_���, Russia"
openaccess Zikavirus,"0, 1",6,"Washington, DC, New York, NY, Athens, OH"
openaccess WorldBipolarDay,"0, 1",1,"UCLan, Preston, Preston, Lancashire, UK"
openaccess WiesentalCenter,"1, 0",1,Graz/London
openaccess Ukraine,"0, 1",1,
openaccess TheOpenChallenge,0,0,Yorkshire 
openaccess TeachingTool,1,0,"Houston, TX"
openaccess SouthAfrica,"0, 9",5,"Athens, Greece, Washington D.C., Toronto, Ontario, Cape town South Africa, Denver, CO"
openaccess SciHub LibGen,0,0,
openaccess STM books,1,0,
openaccess SHS40,"3, 0",3,"Buckinghamshire, Lincoln, England, Oxford, UK"
openaccess Riparian Ecology Conservation biodiversity,0,0,
openaccess Research ScholarlyCommunication science,0,0,#DCMetro & Inter-webs
openaccess RUE2016,"1, 0, 3","0, 2, 1","Paris, Ile-de-France, France, Buckinghamshire"
openaccess RIplus,0,4,
openaccess REF RCUK Horizon impact,0,1,"London, UK, Brunel University, London"
openaccess REF,"0, 1","2, 8, 1, 0","Brunel University, London, London, London, UK, University College London, Exhibition Road, London, Oxford/London, Paris75, UK, Uxbridge, London"
openaccess PyAstro16,"0, 1",1,"Buckinghamshire, Boston, MA"
openaccess PrecisionMedicine,0,1,"Singapore, Buckinghamshire"
openaccess PeerJ,0,0,
openaccess PLNum��rique,"0, 4",5,"Marseille, France, Nice, Normandie, Paris, France, Rennes, Bretagne"
openaccess PJLNum��rique,"0, 3",7,"Paris, France, Paris, BZH - FR"
openaccess OpenVA,0,0,Longwood University
openaccess OAS,0,0,"Sydney, New South Wales"
openaccess OA80ssongs,"0, 1","1, 5","Brisbane, Southampton, Liverpool Hope Library, Glasgow, Preston, Lancashire, UK"
openaccess OA copywrong,0,0,
openaccess OA,"0, 4","2, 0, 1","Buckinghamshire, Berlin, Portland, OR, Brooklyn, NY, New York, singapore, greece & online, Canada, Germany, Switzerland, Omaha, NE, Lyon, FR"
openaccess Nigeria codesria4coep,2,0,
openaccess NephJC,"1, 0",1,"twittersphere, Buckinghamshire"
openaccess Mycology,0,1,Buckinghamshire
openaccess Myanmar,"1, 0",1,Buckinghamshire
openaccess MPAs marineconservation ocean,1,0,"Plymouth, UK"
openaccess Law Congress FASTR research FairAccess,0,0,This Solar System
openaccess LatinAmerica,0,2,"M��xico DF, Barcelona"
openaccess KAUST,"0, 2",5,"Germany / UK, Torino, Piemonte, Lausanne, Switzerland, Buckinghamshire"
openaccess Journal BiologicalScience STM jobsearch pubjobs,0,0,United States
openaccess ISICEM2016,0,5,
openaccess Humanitarian sharehumanity,0,3,"Groningen, The Netherlands"
openaccess Homelessness,0,1,"Buckinghamshire, Open Access | ISSN: 2183-2803"
openaccess HUG,"0, 1",1,"Preston, Lancashire, UK"
openaccess HAL,0,2,"Buckinghamshire, Aix Marseille (PACA), Environs de Lille"
openaccess GoOpen,"0, 1",3,"Boston, MA, Global, New York City"
openaccess GlobalSouth,"0, 1",3,"singapore, greece & online, Buckinghamshire,  http://www.comicsgrid.com/, Toronto, Ontario"
openaccess GlobalLib,0,0,"Leiden, The Netherlands"
openaccess Genetic NGS FREE OA,0,0,www.springer.com
openaccess FASTR publiclyfundedresearch,"0, 1","1, 0","Caltech Library, Americanada, Cambridge, MA"
openaccess FASTR oa,0,1,"Long Beach, CA, Portland, OR"
openaccess FASTR,0,0,US-Pacific
openaccess Elsevier,0,7,Newcastle upon Tyne
openaccess Ecosophy ecology Philosophy,2,0,
openaccess Ecology biodiversity,0,5,"UK South West, Tacony, Amaz��nia, Par��, Brasil, Germany"
openaccess Dulcinea,"1, 0",1,"Salamanca, Spain, Salamanca (Espa��a)"
openaccess DatainBrief,"1, 0","1, 0","Oxford, UK, Buckinghamshire, London, England"
openaccess DIYbio,6,0,London
openaccess DIGIHUM,"1, 0",1,"Helsinki, Suomi, Helsinki, Finland"
openaccess DH digbrit,1,0,"Cambridge, MA"
openaccess Codesria,0,1,"Leiden, The Netherlands, Leiden"
openaccess China Economia,0,5,"Granada, Andaluc�_a"
openaccess CODESRIA Dakar,"2, 0","3, 1","Leiden, The Netherlands, Leiden, ||Morada - Salvador||, Buckinghamshire"
openaccess BritainsSharks,"0, 12",11,"Pembrokeshire, West Wales, Massachusetts , West Sussex, UK, Plymouth, UK, UK, Plymouth, Cornwall, UK, The Sea, Devon., Melbourne, Australia, Plymouth University, UK, United Kingdom"
openaccess Boreal Environment pollution monitoring,0,0,
openaccess Bibliotheken ZBMed keepzbmed,"0, 10",7,"Cologne/Bonn, Germany, Germany / UK, Hannover, Deutschland, Freiburg im Breisgau, stuttgart, germany, privater Account, Koeln"
openaccess BeDigitalBerlin,"8, 0",4,"Berlin, Berlin Campus Charlottenburg, Berlin, Deutschland"
openaccess Aquatic ecology aquaculture WaterQualityMatters,0,0,
openaccess AprilFools,0,0,"Milton Keynes, England"
openaccess Anthropocene climatechange policy,0,1,"East coast, Australia."
openaccess Aid Growth Africa,0,7,"Freetown, Sierra Leone, del + blr"
openaccess Africa,0,1,"Dublin, Ireland, Buckinghamshire"
openaccess AccesoAbierto,"1, 0",1,"M��xico, Buckinghamshire"
openaccess AcademicHipster,"4, 3",0,St. Louis (USA) or Dakar (SN)
openaccess Academia Identity phdlife,0,0,"Antwerp, Belgium"
openaccess AaronSwartz,"0, 1",2,"Manhattan, KS, Buckinghamshire"
openaccess APC,0,0,Scotland
openaccess ADF20in5,"0, 1","3, 1","#BBOG , Buckinghamshire, Mumbai, India, Lagos, Washington, DC, London"
openaccess ACC16,"0, 2",2,US
openaccess ABILITY open Do,0,0,OH...There��_���
openaccess AAG2016 OA urbangeog,0,1,Vancouver BC - Boston MA
openaccess AAG2016,0,"1, 0",Buckinghamshire
openaccess 52OApapers 365papers,0,0,
openaccess 4dayweek,"2, 0",1,"Preston, Lancashire, UK, Glasgow"
openaccess,"0, 1, 2, 3, 5, 4, 7, 8, 9, 10, 15, 23, 6, 16, 21, 13, 12","0, 7, 27, 1, 2, 12, 10, 3, 6, 5, 23, 4, 11, 9, 31, 28, 15, 8, 16, 14, 13, 20, 22, 52, 18, 48, 295, 26","Washington, DC, Amsterdam , Vantaa, Finland, Hoboken, NJ, Paris, France, Cambridge, MA, Americanada, France, Madison, WI, Paris, National Library of Sweden, Prishtina + Belgrade, Grenoble, Manhattan, NY, London, Buckinghamshire, LHR | SFO | SEA, Loughborough, UK, iPhone: 54.042282,-2.794325, Washington, D.C., Amsterdam, Boulder, Colorado, USA, Clitheroe, UK, United States, lisboa, DKFZ, 69120 Heidelberg, Valencia, The Internet, Ohio, American Geophysical Union, Everywhere , Buenos Aires, Barcelona, Senegal, Ranchi, Jharkhand, Quito- Ecuador, Accra, Ghana, UK, Oxford, UK, London, England, Li��ge, Wallonie, Minas Gerais-BR, Berlin, Boston, San Francisco, Oxford, UK , On the road, from Lisburn to Portstewart. NI, University of Oxford, Belgium, Leuven, Bogot��, Colombia, Berlin, Brighton & Hove, UK, Winnipeg, Canada, Delft, Tilburg and around , Saint Louis, USA, Nice, Mississippi State University, Berkeley, CA, USA, surrounded by reality, Blacksburg, VA, M�_nster, Germany, Brighton, UK, Lausanne, Switzerland, Southsea, Portsmouth, UK, Stockholm, R�_o de Janeiro / Buenos Aires, Heidelberg, Malaysia, DUB(mostly) US/NZ(when poss), Brooklyn, Berlin (Char.-Wilm.), Germany, district of cololumbia, DeKalb, IL, Slimbridge, Gloucestershire, Corvallis, OR (USA), Danvers, MA, Leeds, Edinburgh, UK, Ile-de-France, France, Ashover, Derbyshire, Beverley, Yorkshire, Guildford, Surrey, UK, Imperial College London, Boston, MA, Barcelona (Spain), The Hague, ICED 2016 * San Francisco, CA, Davis, CA, Australia, Sydney, Stockholm, Sweden, Halifax, Nova Scotia, Clitheroe, Greece, International, Luxembourg-Germany-Birmingham, Vienna, New Hampshire, USA, Leiden, The Netherlands, Lyon, France, San Francisco, CA, Sheffield, UK, Geneva, Oxford, England, Sydney Australia, Cardiff, Switzerland, Lyon, Rh��ne-Alpes, Open Access | ISSN: 2183-2463, East coast, Australia., United Kingdom, Paris, Ile-de-France, Glasgow, Mountain View, Bruxelles , Iowa, USA, Madison, Wisconsin, Leuven Belgium, Chirk/Manchester, Brussels, Belgium, Valencia, Comunidad Valenciana, Atlanta, Ga, Berlin Campus Charlottenburg, Amsterdam, Boston & Oxford, Alexandria, VA, Europe, Newark, DE, www.ersjournals.com, Halifax,NS, a land of shadow & substance, Syracuse, New York, University College Cork, Vancouver, British Columbia, www.springer.com, Corvallis, OR, #ecu, Hilversum, Noord-Holland, Boston, MA. USA, sevilla, Vienna, Austria, Leicester, England, San Diego, CA, Cambridge, UK, Pretoria, Ganderkesee, Germany, Argentina, Boise, ID, Undisclosed Bunker in Boston, Idaho, Toronto, ON, New York, NY, Espa��a, Canberra, ACT, Aurora, NC, Torino, Piemonte, Haverford, PA, Ontario, Japan, Seattle, Iowa, N 56��1' 0'' / W 3��49' 0'', Sylvania, Singapore, Dublin, London, Ontario, University of Exeter, UK, Barcelona, Catalu��a, Berlin, Germany, University of Warwick, Mexico, Geneva, Switzerland, Poznan, Poland, Herefordshire, Lille 3, Netherlands, Salford, Manchester, Carabobo, Venezuela, Laon (France), Settle, Christchurch NZ, San Jose, California, Schillerplatz 3, 1010 Wien, Poitiers, Central Queensland, versailles, Alpine, TX, UWA, Alabama, USA, Oslo, Norway, South Korea, Washington D.C., Canary Islands, Spain, Lafayette, IN, UK - Rwanda - Malaysia - Oz, St Louis, MO, Chapel Hill, NC, Utrecht, Bhopal & Pune , INDIA, Mill Valley, CA, Kristansand, Melbourne, Victoria, ��x�����p 䊫 �_/2, Brisbane,Australia, University of Cambridge, Preston, Lancashire, UK, UK & international, Swansea/Victoriana, Stellenbosch, Royalston, Massachusetts, USA, T�_bingen, Baden-W�_rttemberg, Turin, Piedmont, Darwin, Australia, Cambridge, England, Belgium/Luxembourg, M��xico, Brussels, Berlin, Deutschland,  http://www.comicsgrid.com/, Caracas, UAEM, New York, New York, Ireland, Edmonton, Alberta, Oxford, London, UK, East Africa, Trento, Sydney, New South Wales, Oklahoma, USA, Petersham, MA, Full Professor @Uni_FI, 75 Commercial Rd, Melbourne, Edinburgh, oxford uk, Caltech Library, Didcot | Oxford | beyond..., India, Nantes, Cardiff, UK, Cyberspace, Godalming, England, Aix-en-Provence, France, Cleveland Clinic, Buenos Aires, Argentina, Louvain-la-Neuve (Belgium), Puebla, M��xico, Boston, Groningen, The Netherlands, Boston [YEG-HAM-BOS], Athens, Greece, Dhaka, Subject Librarian, Orihuela-Elche Espa��a, Neurobiology of Language, london, ontario, Oxford/London, Ghent, Belgium, South Africa, Port Elizabeth, South Africa, Montpellier France, San Diego, Tweets may be scheduled , City University London, Earthling, London-UK \ Beirut-Lebanon, Victoria, Australia, Salt Lake City, UT, London UK, NJ, Marseille, France, Canada, MOE-Kuwait, Guelph, ON, Paris & Lille , Tshwane Ya Mamelodi, New Albion, Amsterdam/London/Rome,  USA, Starting with planet Earth., Lawrence, KS, Windsor, Ontario, Canada, Vancouver/Aguascalientes, Italy, Vancouver, BC, Ireland , Paris Prague Montceau Grenoble, Bristol, Milpitas, California, Prishtina, Kosovo, LDN ��� AMM ��� WWW, Maryland, Edinburg, Texas, Edinburgh, United Kingdom, The Paleocene epoch (66-56 Ma), Cape Town, South Africa, wellington, new zealand, Virginia, USA, Amersfoort, [.dk+.fi] .no .se .is, UCL, Pittsburgh, PA, NSW, In your theta-vega bleeding. , Helsinki, Tempe, AZ, Newcastle-under-Lyme, Pleasanton, CA, Nose Hill Park, Calgary, Charlottesville, VA, Saskatoon, SK, Canada , Abuja, Avignon, France, London,UK, London, U.K., Nairobi Kenya, Bath, UK, North Wales, Everywhere You Want to Be, Rio de Janeiro, Brasil, everywhere, Phoenix, AZ, Texas, Goldsmiths, Univ. of London, Toronto, Northern Virginia, Kansas State University, Durham, England, SF Bay Area, Humboldt State University, CA, England, United Kingdom, Utrecht, The Netherlands, Portugal/USA, Copenhagen, Finland, New York City, Tampa, FL, iPhone: 43.681248,-79.416206, mostly SE Asia & USA, Brest, Bologna, Italy, Edmonton, Alberta, Canada, Global, Bogot��, Colombia., Sevilla, Spain, Colorado, US, and traveling, North Andover, MA, Egham, Surrey, Brussel, Belgi��, Alkmaar, Oslo, Milky Way, Den Haag, Netherlands, Elixir, Corbridge, Northumberland, Houston, Texas, Johannesburg, South Africa, London and Melbourne, Uppsala University, Sweden, mostly Cambridge, Rome / Novi Sad / Brussels, Bogot��, D.C., Colombia, Burrumbuttock, Australia, Li��ge - Belgium, Asturias + Madrid (Spain), Glasgow, Scotland, Manzanares - Barcelona, NL, Leeds, UK, Kbh., Ottawa, Canada, Around the World, Melbourne, Australia, Castilla-La Mancha (Espa��a), N 55��56' 0'' / W 3��11' 0'', France - Paris, Cheshire , England, Aachen, singapore, greece & online, German Cancer Research Center, Santa Clara, CA, New York, USA, Bellevue, WA, Lille, France, Location: everywhere, Munich, Honolulu, HI, Udaipur, India, Gainesville, Florida, USA., Bristol, United Kingdom, Denmark, New York University Abu Dhabi, Berlin-Kreuzberg, palma de mallorca, Ann Arbor, MI, Salamanca, Heredia, Costa Rica, En alg�_n lugar, Cardiff, Wales, Where physics can help., Virginia, United States, Warwickshire (of all places!), London, United Kingdom, Zagreb, Croatia, North East, England, Mostly Bengaluru, India., M��laga, Spain., Preston, UK, 53.466868,-2.231328, Bethlehem, PA, 60.148556,15.198852, UIO - ECUADOR, Harvard Forest, Petersham MA, The internet, Vancouver, BC, Canada, Portland, OR, British Library, Oxford UK, Bologna, Italia, Germany / UK, Wien �_sterreich, Southampton, England, utrecht, Kidlington, UK, Exeter, Devon, Sant Adri�� de Bes�_s, Catalu��a, Reims, Champagne-Ardenne, USA, Manila, Philippines, Des Moines, Iowa, Montr��al, Qu��bec CANADA, www.annikarockenberger.com, Groningen, Netherlands, Cambridge , York, England, Kathmandu, Nepal, Leiden, Brasil, Cymru, Qu��bec, Bologna, the north, Australia & beyond, Colchester, UK, J�_nk�_ping, Schizophr��nie g��ographique, Bonn, Salamanca (Espa��a), Pisa, Cork, Ireland, Southampton, Catalunya, Los Angeles �����London, I routinely delete my tweets, Perth, Western Australia, Cymru - Wales, Oakland, CA, USA, Perth, Western Australia , Exeter, England, Swarthmore, PA, Durham, UK, Kiel und Hamburg, Canterbury, England, Frank Lyko, Fairfax, VA, Pamplona-Spain, Newcastle upon Tyne, Open Access | ISSN: 2183-2803, Open Access | ISSN: 2183-2439, Open Access, Belfast, Darmstadt, College Park, MD, Canberra, Chichester, UK, Rennes, Bethesda, MD, Treaty One, Manitoba , Den Haag, European Research Area, University of Stirling, Oxford/MK: Open University, Bellaterra, Spain and Hungary :), Five Continents, Lisbon, Portugal, Madrid, Spain, Toronto, Ontario, Gainesville, FL, Toluca de Lerdo, Uccle - Brussels, Great Britain, Europe, G�_ttingen, Florida, Manchester, Montr��al et Qu��bec, Vermont, Florida, USA, Amsterdam, Netherlands, Bristol, UK, South-East London, Belgique, Spain Espa��a, The eighteenth century, Edgmond, England, The Eighteenth Century, Toulouse, France, Groningen, Nederland, Munich, Germany, Minneapolis, MN, Link�_ping, Sverige, Cardiff University , Rochdale, Northampton, Roma, Geneva & Brussels , Rolla, MO, ��stanbul, T�_rkiye, Berlin / M�_nchen / Amsterdam, Rennes, Bretagne, Oslo and ��s, Norway, Hampshire, England, Stroud, England, Librarian, Hoboken, In the void, Wales, NYC, Bochum, Wien/Vienna, Bath, Plymouth, UK, Amsterdam & Den Haag, Indiana, Wageningen, the Netherlands, Aix Marseille (PACA), around the neighborhood, Frankfurt am Main, Hessen, Stirling, Scotland, Milagro, Ecuador, Bangalore, Nederland, Sydney, Australia, Stirling, Belgium - Walloon Brabant, Ames, Iowa, Edinburgh, Scotland, Hauts-de-Seine, Ile-de-France, Flatbush, Brooklyn, NY, Edinburgh Napier University, Huddersfield, England, Chester, Kyoto, Japan, Oxfordshire, UK, Li��ge, Belgium, Northern California, Castleford, UK, Madison, Wisconsin, USA, Germany, Johannesburg South Africa, Basel, Switzerland, Hamilton, New Zealand, California | New Hampshire, Tilburg, the Netherlands, Eindhoven, the Netherlands, Townsville, Queensland, Espa��a - Spain, Guayaquil, Ecuador, Sudam��rica, Glasgow, Scotland., Neuss, Moscow, Russia, TUoS Library, Canterbury, Kent , Birmingham & Coventry, England, University of Edinburgh, University of Ottawa, Leeds, Sheffield, Heidelberg Germany, UQ - Brisbane, Hong Kong, DGB-UNAM, Souff East England , Toulouse, Maryland, USA, Balaju-16, Kathmandu, Nepal, University of Birmingham, 48.207437,16.346835, Glasgow & Hong Kong, Cambridge, Manchester, England, Canberra, Australia, Swansea, Arlington, TX, Newcastle and Sunderland, Austin, Texas, M��rida, Faversham, Falmer, London, EU, Ma�_( Minorca Island), Seattle, WA, Nijmegen, NL, University of Winnipeg, Atlanta, GA, Oakland, CA, (now in Melbourne, mostly), Istanbul / London / global  , Cardiff Metropolitan, South West and Midlands , Pittsburgh, prague, czech republic, Hove, UK, St Andrews, Scotland, Stirling - Glasgow, Austin, TX, Visit the website:, LinkedIn https://goo.gl/pNJL9V, Nijmegen, Pasadena, CA, Sandy and Plymouth, UK, Wellington, Pamplona - Iru��a, Kensington, London, University of Toulouse, France, Wallonia (Wallonie), Belgium, Norge, Universitat de Barcelona, Birmensdorf (ZH), Z�_rich, UK, US & Worldwide, 25 Taunton Place, London, UK, La Plata, Alpes-Maritimes, Nantes, France, petropolis, TX, Jupiter, Ailleurs, Corvallis, Oregon, London & Oxford, UK, germany, Newcastle, Australia, Boston based, �_berall, Ann Arbor, Michigan, Amsterdam, The Netherlands, Salamanca, Castilla y Le�_n, Muskiz, Basque Country, Tilburg, Den Haag, Graz, Austria, Earth, Argentina , Salford/Sheffield, African continent, Perth, Oz, Lesbury, Northumberland, Pontevedra, Espa��a, Hawaii, Leipzig, Helsinki, Finland, Bruxelles, Belgique, Lyon, Tampa , Milano, Italia, A surgical suite near you?, Pamplona, evanston il, 90377 Sedna, Texas State University, Bedfordshire based, Berlin - Boston, Lehigh University Bethlehem PA, Eindhoven, The Netherlands, western massachusetts, Northwestern University, Cambridge, FBC, Reading, UK, Bristol, England, Ottawa, Ontario, North Yorkshire, American Transplant to Jo'burg, Eindhoven, Antwerp & London, New York, Ottawa, North of England, Salford, UK, Manchester / Salerno, Graz/London, Kansas, USA, Lille / Balkans, Exeter, New Delhi , Dublin, Ireland, Belgium, Torino, Italy, Cambridge, MA USA, Mannheim, Germany, New York, NY USA, Kaneohe, HI, Frankfurt, Between the Poles., Saigon-Hamburg-Kiel, Porto, Portugal, New York, Dordrecht, Berlin, La Plata, BsAs. Argentina, Pune, Washington, DC , Hobart, Australia, Sainte-Maure-de-Touraine (37), Brooklyn, NY, Ljubljana, Ottawa, ON Canada, Bridport, Alnwick, Northumberland, Columbus, OH, Montreal, San Francisco, Neuss/Aachen, Holyoke, MA, UCL, London, toronto x canada, Harvard University, New England, USA, Clear Spring, MD, Boston, MA USA, Maybe in Londinium, University of Sussex, England, Burnaby, Vancouver, stuttgart, germany, chennai, Xalapa, Veracruz, M��xico , Ljubljana, San Francisco, iPhone: 53.580761,-2.535795, Tyler, TX, Universit�� de Poitiers, New York/London/Milan, Seattle, Washington, Worldwide, Nairobi, Kenya, Liverpool, Tokyo, Springfield, Missouri (US), Miami, FL, Salford & Liverpool, Africa/Afrique, Scotland, Freiburg im Breisgau, Vrilissia, Greece"
openAccess,"1, 0","0, 1","Ruardean, Gloucestershire, UK, Buckinghamshire"
ojs openaccess journal UHU,0,1,
oer openaccess,"0, 1",1,"Kirkkonummi, Oslo"
oatransition openaccess,2,0,"Munich, Germany"
oat16 openaccess oa,0,14,"Berlin, Deutschland, Hamburg Chur Hannover etc. ..., Niedersachsen, Deutschland, Germany / UK, Deutschland"
oacountdown openaccess,"0, 1","2, 0","Oxford, England, Leeds, Buckinghamshire, Leeds, England, Leeds, UK, Oxford, United Kingdom"
oacountdown,"0, 2",1,"Leeds, England, Leeds, UK"
oa2020 openaccess,"0, 3",1,Barcelona
oa openaccess search,"0, 1",2,"Boston, MA, Buckinghamshire, Indianapolis, IN, USA"
oa openaccess openscience,"0, 7",7,"Annapolis, MD, Neuss/Aachen, Matar�_/Maresme , LHR | SFO | SEA, United States, Cork"
oa openaccess,"0, 1","0, 1","Li��ge - Belgium, Utrecht, Netherlands, Buckinghamshire, Dominica, West Indies, New York, NY, Vienna"
oa,"2, 0","0, 7","Australia, Ile-de-France, France"
numerique openaccess edition,"1, 0, 2","1, 2, 4","Paris, Paris France, In da bed , Brussels, Belgium, Buckinghamshire"
newschallenge openaccess,"0, 2",2,"The Park Blocks, Portland, OR, Portland, OR, Buckinghamshire"
newbooks openaccess SCMS16,"0, 2",2,"Amman, Jordan, Berkeley, CA"
networkoperation ftth openaccess,0,2,"Buckinghamshire, New York"
neonics endodocrinedisruption openaccess,0,3,M��xico #MX
nanomedicine thrombosis openaccess,0,3,"Buckinghamshire, Barcelona, Spain"
naloxone openaccess,"0, 9","13, 0","Palo Alto, CA, Ontario, Canada, UK, Stirling, Scotland,  Ireland, London, Denmark Hill, London, Scotland, Scottish Borders and beyond, Silicon Valley, London "
musetech openaccess digitization art museumlove,"0, 9",1,"San Diego, CA"
musetech openaccess copyright,"1, 0",1,"San Diego, CA, Buckinghamshire"
musetech openaccess,"0, 3",4,"Tempe, AZ, San Diego, CA, Washington, D.C., Pennsylvania, Washington, DC"
musetech data openaccess Digitization art,"0, 2",2,"Washington, DC, San Diego, CA, Indianapolis"
musetech Digitization openaccess art,"0, 4",2,"Indianapolis, Washington, DC, San Diego, CA"
moa2016 openaccess,0,0,Malm�_
moa2016,"0, 2",8,"Sollefte��, Sweden, Stockholm, Sweden, National Library of Sweden, Stockholm, Sverige, Stockholm, Sweden"
migration breeding birds openaccess,"0, 1",1,"Helsinki, Finland, Finland"
microscopy fluorescence optogenetics NIR trafficking ionchannel nanoscopy SuperResolution OpenAccess,0,3,"Ephys labs: British University, Rome"
memoryforensics openaccess dfir,"0, 24",13,"United States, US, Buckinghamshire, Saudi arabia | Jeddah, SUDAN, New York, USA, New Orleans, La, USA, NoVA"
memantine autism openaccess,"0, 3",3,"Kirkkonummi, London, UK"
medlibs meded openaccess,"0, 1","2, 0","Buckinghamshire, New York, New York, Baltimore, Maryland, USA, Boston, MA"
medicaleducation openaccess FOAMed,0,"2, 1","UIO - ECUADOR, Buckinghamshire"
mdpijpm PeopleSeq openaccess,0,1,"Buckinghamshire, Basel, Switzerland"
materialchemistry openaccess,0,0,
material science openaccess mdpi,1,0,"Basel, Switerland"
madmarystavern OpenAccess violin,"1, 0",2,"Saratoga, CA, Buckinghamshire"
madmarystavern OpenAccess,"0, 3",5,"Buckinghamshire, San Jose, California, Saratoga, CA, Benicia"
loinumerique OnVautMieuxQueCa openaccess,"0, 4",8,"Buckinghamshire, France, Paris, Berlin, Pointe-Noire, Congo, Palaiseau"
literacy OpenAccess reading,"0, 3",2,"Alsace region, France, Blue Mountains, Australia, Worldwide "
linguisticlandscape openaccess,0,3,Graz
lichenoid dermatitis pneumococcal vaccination openaccess,0,0,Global
library openaccess,"0, 1",1,"Buckinghamshire, Usually Washington DC"
libraries openaccess,0,0,"Sydney, New South Wales"
libraries,0,0,"Ile-de-France, France"
librarians openaccess scholarlypublishing,0,9,Catalunya
librarian openaccess scholcomm,"0, 1",2,"Sydney, New South Wales, Portland, OR, London"
librarian openaccess publisher monograph research academic phdchat,1,0,London
librarian openaccess education scholcomm pupil teacher,0,1,"New York, London"
libleadgender openaccess scholcomm,"0, 4",1,"Cambridge MA, Arlington, TX"
language teaching ebook openaccess,"0, 4",1,"Nottingham, UK"
landregistry Data openaccess,"0, 1",1,London
lake stream phosphorus openaccess water,0,0,"Toronto, Ontario"
keepzbmed openaccess OER,"0, 3",4,"Cologne/Bonn, Germany, Germany / UK, Hannover, Germany"
kebetu technoveille bibsen OpenAccess,0,0,Yeumbeul - Ngor - Dakar
journals openscience openaccess in,1,0,Abu Dhabi
journals OpenAccess highered,0,0,
journals OpenAccess ScholarlyPublishing APC,1,0,Toluca de Lerdo
journalism migrants OpenAccess JournalismPractice ECPMF,"0, 3","1, 3","Berlin, Germany, ISIG/FBK, Trento, Limana (BL) - Italy"
jobsearch linkedin,0,1,"Ile-de-France, France"
japon��s OpenAccess,0,0,Barcelona
iupuidigschol openaccess,"0, 3",3,"Detroit, Indiana, Buckinghamshire"
ionchannel OpenAccess,0,7,Leeds-UK
investigaci�_n openaccess,"0, 4, 1","7, 1","Madrid, Sevilla, ciudad del Betis, Sevilla, Asturias-Madrid-Spain, UdG, Spain"
internet socialmedia QUALITY education OPENACCESS,"0, 3, 6, 1","2, 3, 0","Port Harcourt, Nigeria., Port Harcourt Nigeria, Port Harcourt, Nigeria, Akure city , Any u want me to be"
internet openaccess,"30, 0",27,"Washington, DC, United States, 3C-Madrid / Le�_n (Spain), Austria, London, LHR | SFO | SEA, Leeds and Manchester , Aich, Japan, Toronto, Ontario, Berlin, Germany, Cary, NC, Pretoria / South Africa, Tampa, FL, 60.148556,15.198852, Rennes, United Kingdom, LinkedIn https://goo.gl/pNJL9V, casales@uji.es, London; Geneva , Colorado, US, and traveling, Jyvaskyla, Finland"
innovate innovation openinnovation openaccess valorisation,1,1,'s-Hertogenbosch
infonum,0,3,"Ile-de-France, France"
hybrid OA openaccess,0,0,"North West, England"
humanities openaccess SocSciMatters,"1, 0",1,Buckinghamshire
howopenisit openaccess,0,0,
histSTM openaccess,0,2,"Leeds, England"
highered phdchat OpenAccess OA,0,0,
heritageMW BnF,0,24,"Ile-de-France, France"
hep openaccess,"0, 1, 3","4, 2, 0","Sydney, Australia, Sydney Australia, Melbourne, Australia, Melbourne, Sydney"
helium openaccess,"0, 2",0,"Oxfordshire, UK"
health science openaccess,0,0,
handhygiene humanresourcesforhealth openaccess,0,2,"Buckinghamshire, Global, Space Glasgow"
gunviolence ScienceAdvances openaccess,"1, 0",0,"Sidney, OH"
genomics openaccess DNA,"0, 2",1,"Stanford University, Genomic Entertainment"
genome sequence protection PublicDomain openaccess openscience genomics,0,0,Southern California
genealogie ahnenforschung familiengeschichte,"0, 1",1,"Germany, Leipzig, Deutschland"
futureofmuseums openaccess socialbusiness entrepreneurship futureMW MuseumWeek,4,0,
futureofmuseums openaccess socialbusiness entrepreneurship futureMW,1,0,New York and Beyond
fulltextfriday openaccess oa tgifulltext thankgoditsfulltext,0,0,"Swarthmore, PA"
freesubmission openaccess,0,1,"Poznan, Poland"
free OpenAccess locatives,0,0,Global
free OpenAccess English,0,0,Global
free OpenAccess,0,"1, 0","Global, Buckinghamshire"
fiznewsline OpenAccess OA,0,0,Karlsruhe
fb,0,3,"Ile-de-France, France"
